transaction_id,customer_id,transaction_amount_inr,merchant_category,merchant_id,transaction_datetime,transaction_hour,day_of_week,customer_age,customer_gender,customer_income_monthly_inr,customer_tenure_months,avg_transaction_amount_inr,transaction_count_30d,transaction_city,transaction_state,distance_from_home_km,card_type,device_type,channel,international_transaction,failed_attempts_24h,previous_fraud_count,account_age_months,amount_to_customer_avg_ratio,is_fraud
TXN10000056,CUST100727,7518.01,Entertainment,MER3007,5/20/2026 17:49,17,Wednesday,30,Female,70334,142,3332.07,11,Ahmedabad,Gujarat,12.22,Mastercard,Android,POS,0,0,0,158,2.256,0
TXN10000057,CUST101779,1402.61,Restaurant,MER3576,2/1/2026 19:32,19,Sunday,38,Female,39700,118,1382.46,13,Lucknow,Uttar Pradesh,8.6,Mastercard,Web,POS,0,0,0,137,1.014,0
TXN10000058,CUST101544,4592.3,Grocery,MER2347,6/1/2026 21:42,21,Monday,18,Female,46943,27,2494.25,14,Kochi,Kerala,5.74,Visa,iOS,POS,0,1,0,82,1.84,0
TXN10000059,CUST100186,2567.62,Education,MER3102,3/26/2026 20:49,20,Thursday,27,Female,54370,145,5568.76,12,Lucknow,Uttar Pradesh,12.43,Mastercard,ATM,Online,0,0,0,6,0.461,0
TXN10000060,CUST100879,747.2,Entertainment,MER2462,5/10/2026 21:09,21,Sunday,24,Female,42185,95,1005.46,10,Hyderabad,Telangana,6.6,Visa,ATM,POS,0,0,0,22,0.742,0
TXN10000061,CUST100629,2223.84,Restaurant,MER3808,2/8/2026 13:08,13,Sunday,64,Male,38087,146,2432.16,15,Kolkata,West Bengal,5,Mastercard,Android,POS,0,0,0,110,0.914,0
TXN10000062,CUST101277,5662.61,Clothing,MER2618,4/5/2026 12:04,12,Sunday,25,Male,37758,80,2298.97,12,Kolkata,West Bengal,3.36,Mastercard,Web,Online,0,1,0,171,2.462,0
TXN10000063,CUST100065,3476.9,Travel,MER2282,2/28/2026 9:53,9,Saturday,50,Male,27609,128,1700.67,12,Mumbai,Maharashtra,15.26,Visa,iOS,Mobile App,0,0,0,37,2.043,0
TXN10000064,CUST101906,614.92,Grocery,MER2391,4/24/2026 18:42,18,Friday,58,Male,32925,102,669.87,14,Ahmedabad,Gujarat,0.58,Visa,Android,POS,0,0,0,147,0.917,0
TXN10000065,CUST101345,1694.19,Clothing,MER1292,5/28/2026 22:52,22,Thursday,29,Male,47975,110,883.45,11,Chennai,Tamil Nadu,74.73,Visa,Android,Online,0,3,0,14,1.916,1
TXN10000066,CUST100272,3348.96,Travel,MER2318,2/5/2026 15:00,15,Thursday,19,Male,21374,35,1464.27,11,Bengaluru,Karnataka,23.49,RuPay,Web,Mobile App,0,0,0,88,2.286,0
TXN10000067,CUST101717,500.62,Fuel,MER4882,6/3/2026 15:08,15,Wednesday,55,Male,63839,79,426.23,12,Pune,Maharashtra,2.64,Visa,ATM,Online,1,0,0,136,1.172,0
TXN10000068,CUST100277,2179.75,Online Shopping,MER4773,5/30/2026 17:16,17,Saturday,19,Male,73518,154,1566.46,15,Kolkata,West Bengal,2.1,Visa,Android,POS,0,1,0,144,1.391,0
TXN10000069,CUST101229,2938.8,Education,MER1936,3/25/2026 20:04,20,Wednesday,44,Female,29550,57,2052.12,11,Ahmedabad,Gujarat,15.07,Visa,iOS,POS,0,0,0,170,1.431,0
TXN10000070,CUST101470,1719.89,Grocery,MER3736,6/27/2026 8:11,8,Saturday,61,Male,46358,9,693.89,8,Pune,Maharashtra,16.3,Visa,Android,POS,0,0,0,69,2.475,0
TXN10000071,CUST100334,1436.26,Clothing,MER3845,3/10/2026 22:39,22,Tuesday,69,Male,64600,52,1069.68,10,Indore,Madhya Pradesh,0.39,Visa,Android,Online,0,0,0,102,1.341,0
TXN10000072,CUST101036,2543.46,Online Shopping,MER1324,5/28/2026 8:16,8,Thursday,44,Male,25569,51,1139.56,23,Ahmedabad,Gujarat,5.8,Amex,Android,POS,0,0,0,99,2.23,0
TXN10000073,CUST101907,2323.34,Fuel,MER3896,6/24/2026 12:15,12,Wednesday,25,Female,204130,56,2396.11,11,Bengaluru,Karnataka,7.17,RuPay,Web,ATM,0,0,0,164,0.969,0
TXN10000074,CUST100000,740.92,Jewelry,MER3969,3/2/2026 7:22,7,Monday,21,Female,65754,31,954.35,15,Hyderabad,Telangana,3.93,Visa,Web,POS,0,0,0,137,0.776,0
TXN10000075,CUST101111,2550.06,Electronics,MER2958,6/23/2026 8:35,8,Tuesday,51,Female,67859,93,2448.11,18,Jaipur,Rajasthan,7.54,Mastercard,iOS,Online,0,0,0,115,1.041,0
TXN10000076,CUST100672,2144.83,Grocery,MER1676,1/23/2026 9:16,9,Friday,31,Female,118664,11,1822.32,5,Pune,Maharashtra,4.75,Visa,iOS,POS,0,0,0,58,1.176,0
TXN10000077,CUST101008,4855.87,Online Shopping,MER4215,5/17/2026 9:23,9,Sunday,51,Female,91010,42,3494.74,19,Indore,Madhya Pradesh,2.41,Mastercard,Web,POS,0,0,0,45,1.389,0
TXN10000078,CUST101050,3529.58,Grocery,MER3411,4/15/2026 10:35,10,Wednesday,27,Female,71634,124,3915.99,15,Mumbai,Maharashtra,9.56,RuPay,Android,Online,0,0,0,110,0.901,0
TXN10000079,CUST101221,1308.6,Grocery,MER3418,2/10/2026 9:34,9,Tuesday,54,Male,77870,145,1463.77,14,Hyderabad,Telangana,10.78,Visa,Android,Online,0,0,0,139,0.893,0
TXN10000080,CUST100336,2362.97,Travel,MER2077,3/25/2026 7:09,7,Wednesday,69,Male,81711,14,1534.61,12,Kolkata,West Bengal,2.59,Visa,Android,Online,0,0,0,80,1.539,0
TXN10000081,CUST101591,748.82,Fuel,MER2238,1/7/2026 15:27,15,Wednesday,19,Female,37383,68,2555.42,15,Kolkata,West Bengal,4.45,Visa,Android,Mobile App,0,0,0,77,0.293,0
TXN10000082,CUST100015,2484.88,Healthcare,MER1048,3/23/2026 20:42,20,Monday,55,Male,53554,175,3174.31,11,Hyderabad,Telangana,0.74,Visa,Web,POS,1,1,0,176,0.783,0
TXN10000083,CUST101027,2241.57,Fuel,MER1421,6/16/2026 14:28,14,Tuesday,66,Male,37103,177,2904.04,13,Delhi,Delhi,4.56,RuPay,Android,ATM,0,0,0,108,0.772,0
TXN10000084,CUST100377,724.89,Grocery,MER3119,6/19/2026 22:15,22,Friday,35,Female,42428,169,1124.56,12,Chennai,Tamil Nadu,14.05,Visa,Web,Online,0,0,0,76,0.644,0
TXN10000085,CUST100214,2684.85,Restaurant,MER4764,2/11/2026 11:02,11,Wednesday,39,Female,60903,74,2758.32,11,Indore,Madhya Pradesh,14,Mastercard,iOS,Mobile App,1,0,0,73,0.973,0
TXN10000086,CUST101892,20099.79,Grocery,MER3510,1/24/2026 18:34,18,Saturday,48,Male,20962,108,10700.14,18,Indore,Madhya Pradesh,8.32,Mastercard,Android,POS,0,0,0,14,1.878,0
TXN10000087,CUST101875,3172.97,Electronics,MER3753,4/29/2026 20:51,20,Wednesday,41,Female,54658,3,4255.41,13,Pune,Maharashtra,3.23,Visa,Android,Mobile App,0,0,0,113,0.745,0
TXN10000088,CUST101794,3303.02,Online Shopping,MER1471,3/4/2026 12:01,12,Wednesday,54,Male,64643,89,1730.99,14,Jaipur,Rajasthan,2.33,Mastercard,Web,Online,0,0,0,66,1.907,0
TXN10000089,CUST100296,7818.63,Entertainment,MER1720,5/26/2026 17:19,17,Tuesday,29,Male,56058,96,6362.2,17,Pune,Maharashtra,4.22,Visa,Web,Online,0,0,0,96,1.229,0
TXN10000090,CUST100994,2843.8,Entertainment,MER2625,3/13/2026 21:18,21,Friday,65,Female,23706,27,1758.9,16,Pune,Maharashtra,5.87,Mastercard,Android,Mobile App,0,0,0,97,1.616,0
TXN10000091,CUST100935,3321.71,Entertainment,MER3621,1/28/2026 21:48,21,Wednesday,66,Female,53095,130,2066.81,20,Ahmedabad,Gujarat,3.39,Mastercard,Android,POS,0,0,0,44,1.606,0
TXN10000092,CUST101911,1021.78,Healthcare,MER4762,1/9/2026 15:44,15,Friday,34,Female,95976,164,1408.6,12,Pune,Maharashtra,8.17,Mastercard,Web,POS,0,0,0,67,0.725,0
TXN10000093,CUST100711,2369.62,Entertainment,MER2486,5/22/2026 14:15,14,Friday,47,Female,97820,124,5315.46,18,Hyderabad,Telangana,6.97,Mastercard,ATM,ATM,0,1,0,25,0.446,0
TXN10000094,CUST101993,1615.23,Travel,MER2936,3/3/2026 20:59,20,Tuesday,51,Female,53199,155,2031.19,14,Chennai,Tamil Nadu,10.27,Visa,iOS,POS,0,1,0,148,0.795,0
TXN10000095,CUST101161,2883.19,Restaurant,MER4489,2/17/2026 12:13,12,Tuesday,30,Male,24116,137,2182.02,13,Mumbai,Maharashtra,14.87,Visa,ATM,Online,0,0,0,149,1.321,0
TXN10000096,CUST100347,2419.42,Electronics,MER3756,1/28/2026 13:20,13,Wednesday,68,Female,49800,112,1279.16,13,Pune,Maharashtra,5.37,Visa,Web,POS,0,0,0,60,1.89,0
TXN10000097,CUST100318,3685.91,Online Shopping,MER4000,1/25/2026 11:00,11,Sunday,26,Male,23740,126,4635.49,9,Kolkata,West Bengal,8,Visa,Web,POS,0,0,0,66,0.795,0
TXN10000098,CUST100697,515.32,Grocery,MER2813,3/17/2026 11:01,11,Tuesday,52,Female,55073,62,651.18,7,Mumbai,Maharashtra,2.01,Visa,Android,POS,0,0,0,139,0.79,0
TXN10000099,CUST101548,8219.99,Grocery,MER2179,4/22/2026 21:52,21,Wednesday,60,Male,34368,136,7892.39,13,Pune,Maharashtra,9.14,Visa,iOS,Mobile App,0,0,0,10,1.041,0
TXN10000100,CUST101005,674.28,Clothing,MER3355,5/19/2026 15:52,15,Tuesday,34,Male,54984,143,786.94,9,Kochi,Kerala,4.53,RuPay,iOS,Online,0,0,1,164,0.856,0
TXN10000101,CUST101416,13247.6,Restaurant,MER4023,6/26/2026 18:37,18,Friday,65,Male,29308,154,9241.3,6,Chennai,Tamil Nadu,3.59,RuPay,Android,Online,0,0,0,101,1.433,0
TXN10000102,CUST101548,7096.37,Online Shopping,MER3314,2/12/2026 19:19,19,Thursday,44,Female,61227,137,6702.5,14,Kolkata,West Bengal,3.72,Mastercard,iOS,POS,0,0,0,149,1.059,0
TXN10000103,CUST100203,4116.11,Restaurant,MER1487,4/9/2026 23:04,23,Thursday,29,Female,51120,50,3111.29,5,Hyderabad,Telangana,9.06,Mastercard,Android,POS,0,1,0,69,1.323,0
TXN10000104,CUST100032,1999.54,Jewelry,MER3355,3/5/2026 21:30,21,Thursday,34,Female,29477,92,1104.23,17,Pune,Maharashtra,11.72,Mastercard,Android,Online,0,0,0,89,1.809,0
TXN10000105,CUST100154,873.51,Travel,MER4330,5/19/2026 10:37,10,Tuesday,65,Male,96352,23,2382.29,13,Kochi,Kerala,7.33,Visa,iOS,POS,0,0,0,69,0.367,0
TXN10000106,CUST101555,7217.85,Restaurant,MER1673,5/24/2026 10:39,10,Sunday,42,Other,31111,115,2317.36,20,Kochi,Kerala,10.63,RuPay,iOS,ATM,0,0,0,157,3.113,0
TXN10000107,CUST100203,894.15,Grocery,MER4133,5/12/2026 20:22,20,Tuesday,54,Female,81185,75,1257.81,16,Kolkata,West Bengal,6.37,Visa,Android,Online,0,0,0,156,0.71,0
TXN10000108,CUST100906,578.71,Electronics,MER3157,2/27/2026 15:58,15,Friday,51,Female,26229,135,1175.65,13,Lucknow,Uttar Pradesh,12.62,Visa,Android,POS,0,0,0,148,0.492,0
TXN10000109,CUST101270,1626.29,Fuel,MER3859,2/12/2026 22:12,22,Thursday,26,Male,20951,133,2426.71,12,Bengaluru,Karnataka,10.28,Mastercard,Web,Online,0,0,0,12,0.67,0
TXN10000110,CUST100860,761.1,Entertainment,MER4749,1/15/2026 12:16,12,Thursday,46,Male,41074,158,1082.07,9,Chennai,Tamil Nadu,5.05,Visa,Android,ATM,0,0,0,97,0.703,0
TXN10000111,CUST101721,7788.16,Clothing,MER4325,2/15/2026 13:47,13,Sunday,43,Male,78964,43,3567.36,11,Kolkata,West Bengal,13.83,Mastercard,iOS,POS,0,0,0,55,2.183,0
TXN10000112,CUST101432,1666.24,Education,MER1365,4/16/2026 20:36,20,Thursday,45,Female,34997,134,1285.98,11,Hyderabad,Telangana,13.5,Mastercard,iOS,POS,1,0,0,8,1.295,0
TXN10000113,CUST101210,449.43,Online Shopping,MER1973,6/6/2026 14:35,14,Saturday,34,Male,64377,94,1104.72,7,Pune,Maharashtra,5.41,Mastercard,Android,POS,0,1,0,78,0.406,0
TXN10000114,CUST100103,5476.32,Entertainment,MER1317,4/30/2026 13:33,13,Thursday,34,Male,32123,92,7540.07,10,Kolkata,West Bengal,2.7,Visa,iOS,Mobile App,0,0,0,37,0.726,0
TXN10000115,CUST101916,9426.68,Restaurant,MER4470,1/11/2026 7:31,7,Sunday,43,Female,68510,170,6574.52,18,Ahmedabad,Gujarat,4.85,Mastercard,Web,POS,0,0,0,20,1.434,0
TXN10000116,CUST101538,1699.58,Clothing,MER3995,1/12/2026 4:25,4,Monday,23,Female,98314,13,1620.99,6,Pune,Maharashtra,1.87,Visa,iOS,POS,0,0,0,136,1.048,0
TXN10000117,CUST101406,1224.94,Travel,MER2602,6/2/2026 16:49,16,Tuesday,45,Female,67480,88,1644.73,10,Chennai,Tamil Nadu,2.06,Mastercard,Android,Online,0,0,0,136,0.744,0
TXN10000118,CUST100131,501.6,Electronics,MER1461,2/3/2026 21:38,21,Tuesday,45,Male,26811,13,612.35,9,Mumbai,Maharashtra,19.15,Visa,Android,Mobile App,0,1,0,161,0.818,0
TXN10000119,CUST100683,1129.63,Entertainment,MER1064,3/21/2026 12:08,12,Saturday,62,Male,43404,100,680.56,13,Bengaluru,Karnataka,13.78,Mastercard,Web,POS,0,0,0,19,1.657,0
TXN10000120,CUST100120,4251.5,Grocery,MER2706,4/23/2026 11:40,11,Thursday,57,Male,48761,105,3088.12,7,Indore,Madhya Pradesh,10.26,RuPay,ATM,Mobile App,0,0,0,158,1.376,0
TXN10000121,CUST100908,1639.61,Fuel,MER3346,1/28/2026 9:35,9,Wednesday,20,Female,27549,103,2306.48,17,Kolkata,West Bengal,6.12,RuPay,Android,ATM,0,0,0,174,0.711,0
TXN10000122,CUST100830,1405.55,Grocery,MER4956,2/25/2026 14:09,14,Wednesday,55,Female,17171,152,621.32,15,Mumbai,Maharashtra,4.03,Visa,ATM,Online,0,0,0,50,2.259,0
TXN10000123,CUST101652,1857.66,Electronics,MER3625,2/25/2026 13:50,13,Wednesday,42,Female,45291,102,1228.27,8,Delhi,Delhi,16.17,Mastercard,ATM,POS,0,0,0,153,1.511,0
TXN10000124,CUST101295,860.93,Electronics,MER3210,3/30/2026 8:55,8,Monday,60,Female,43204,81,1354.62,10,Bengaluru,Karnataka,11.44,Mastercard,Android,POS,0,0,0,169,0.635,0
TXN10000125,CUST101620,5391.92,Travel,MER2266,3/16/2026 13:04,13,Monday,67,Male,43106,95,3186.63,11,Bengaluru,Karnataka,4.01,RuPay,iOS,Online,0,0,0,120,1.692,0
TXN10000126,CUST101656,1678.84,Electronics,MER2053,3/24/2026 4:26,4,Tuesday,55,Male,96509,28,2150.54,9,Chennai,Tamil Nadu,5.87,Visa,ATM,Mobile App,0,0,0,147,0.78,0
TXN10000127,CUST101501,4672.41,Online Shopping,MER4712,6/8/2026 15:44,15,Monday,60,Male,86565,167,8000.65,11,Delhi,Delhi,14.48,Visa,ATM,Mobile App,0,0,0,56,0.584,0
TXN10000128,CUST100728,1352.03,Fuel,MER3167,2/10/2026 9:58,9,Tuesday,47,Male,106163,119,1525.5,21,Kochi,Kerala,5.77,Visa,Android,POS,0,0,0,115,0.886,0
